record_id,db_source,author,year,title,doi,reviewer1,reviewer2,reviewer3,exclusion_reason
1394,Scopus,Huntley A.L.,2007,Grape flavonoids and menopausal health,10.1258/175404507783004177,exclude,exclude,exclude,Review or non-original article
1395,Scopus,Ojewole J.A.O.,2010,"Sclerocarya birrea (A. Rich) Hochst. ['Marula'] (Anacardiaceae): A review of its phytochemistry, pharmacology and toxicology and its ethnomedicinal uses",10.1002/ptr.3080,exclude,exclude,exclude,Review or non-original article
1396,Scopus,Fava F.,2006,The gut microbiota and lipid metabolism: Implications for human health and coronary heart disease,10.2174/092986706778521814,exclude,exclude,exclude,Review or non-original article
1397,Scopus,Mattoo A.K.,2010,Genetic engineering to enhance crop-based phytonutrients (nutraceuticals) to alleviate diet-related diseases,10.1007/978-1-4419-7347-4_10,exclude,exclude,exclude,Review or non-original article
1398,Scopus,Nicolaides A.N.,2008,Management of chronic venous disorders of the lower limbs guidelines according to scientific evidence,,exclude,exclude,exclude,Review or non-original article
1399,Scopus,Serafini M.,2011,Modulation of plasma Non Enzimatic Antioxidant Capacity (NEAC) by plant foods: The role of polyphenol,10.2174/156802611796235125,exclude,exclude,exclude,Review or non-original article
1400,Scopus,Goncagul G.,2010,Antimicrobial effect of garlic (Allium sativum),10.2174/157489110790112536,exclude,exclude,exclude,Review or non-original article
1401,Scopus,Jurenka J.,2008,Therapeutic applications of pomegranate (Punica granatum L.): A review,,exclude,exclude,exclude,Review or non-original article
1402,Scopus,Edwards T.,2005,"Inflammation, pain, and chronic disease: An integrative approach to treatment and prevention",,exclude,exclude,exclude,Review or non-original article
1403,Scopus,Perrin M.,2011,"Pharmacological treatment of primary chronic venous disease: Rationale, results and unanswered questions",10.1016/j.ejvs.2010.09.025,exclude,exclude,exclude,Review or non-original article
1404,Scopus,Musharof Hossain M.,2011,Therapeutic orchids: Traditional uses and recent advances - An overview,10.1016/j.fitote.2010.09.007,exclude,exclude,exclude,Review or non-original article
1405,Scopus,Maron D.J.,2004,Flavonoids for reduction of atherosclerotic risk,10.1007/s11883-004-0119-1,exclude,exclude,exclude,Review or non-original article
1406,Scopus,Lakshmi T.,2011,Coping with hypertension using safer herbal medicine - A therapeutic review,,exclude,exclude,exclude,Review or non-original article
1407,Scopus,Hollenberg N.K.,2004,"Cocoa, flavanols and cardiovascular risk",,exclude,exclude,exclude,Review or non-original article
1408,Scopus,Ghanbari R.,2012,Valuable nutrients and functional bioactives in different parts of olive (Olea europaea L.)-A review,10.3390/ijms13033291,exclude,exclude,exclude,Review or non-original article
1409,Scopus,Seymour E.M.,2008,Chronic intake of a phytochemical-enriched diet reduces cardiac fibrosis and diastolic dysfunction caused by prolonged salt-sensitive hypertension,10.1093/gerona/63.10.1034,exclude,exclude,exclude,Animal or in vitro study
